"Sessione";"Elezione";"Provincia";"Comune";"Sezione";"Zona";"CollCam";"CollSen";"CollPro";"Elettori";"Votanti";"Validi";"Non validi";"POPOLARI PER L'ITALIA";"+EUROPA - ITALIA IN COMUNE - P";"PARTITO COMUNISTA";"POPOLO DELLA FAMIGLIA - ALTERN";"PARTITO PIRATA";"EUROPA VERDE";"LA SINISTRA";"FORZA ITALIA";"FRATELLI D'ITALIA";"MOVIMENTO 5 STELLE";"CASAPOUND ITALIA - DESTRE UNIT";"LEGA SALVINI PREMIER";"FORZA NUOVA";"PARTITO ANIMALISTA";"PARTITO DEMOCRATICO";"AUTONOMIE PER L'EUROPA"
26/05/2019;1;"Milano";"Milano";1;1;;;;795;447;443;4;3;37;1;2;0;10;1;87;40;14;2;119;0;1;126;0
26/05/2019;1;"Milano";"Milano";2;8;;;;517;204;195;9;0;5;0;0;0;5;2;22;5;19;0;104;1;0;32;0
26/05/2019;1;"Milano";"Milano";3;8;;;;887;511;494;17;3;10;2;0;3;13;20;30;23;65;0;195;0;4;125;1
26/05/2019;1;"Milano";"Milano";4;7;;;;804;461;450;11;1;13;2;3;2;13;11;31;25;84;0;161;1;1;102;0
26/05/2019;1;"Milano";"Milano";5;1;;;;999;435;429;6;0;35;0;0;0;5;8;72;24;26;0;114;1;2;141;1
26/05/2019;1;"Milano";"Milano";6;9;;;;907;543;534;9;0;21;6;2;0;18;12;41;15;70;0;170;1;1;176;1
26/05/2019;1;"Milano";"Milano";7;1;;;;958;589;587;2;1;62;1;0;1;14;1;117;39;22;0;122;0;2;204;1
26/05/2019;1;"Milano";"Milano";8;6;;;;736;454;449;5;0;31;3;3;0;20;13;44;23;24;0;115;0;0;173;0
26/05/2019;1;"Milano";"Milano";9;1;;;;684;355;347;8;0;25;3;2;1;7;3;62;24;12;1;67;0;1;139;0
26/05/2019;1;"Milano";"Milano";10;3;;;;0;57;56;1;1;2;0;2;0;0;1;7;2;4;1;16;1;0;19;0
26/05/2019;1;"Milano";"Milano";11;8;;;;861;463;455;8;2;19;5;3;0;16;3;51;20;63;0;157;0;4;111;1
26/05/2019;1;"Milano";"Milano";12;7;;;;680;357;348;9;0;6;3;2;0;12;4;33;17;51;0;140;2;1;77;0
26/05/2019;1;"Milano";"Milano";13;1;;;;899;561;556;5;1;52;0;1;1;17;3;85;36;23;0;95;0;0;242;0
26/05/2019;1;"Milano";"Milano";14;8;;;;919;452;444;8;4;15;2;0;0;17;5;46;29;56;0;172;0;5;93;0
26/05/2019;1;"Milano";"Milano";15;7;;;;349;164;162;2;0;13;0;0;0;8;2;27;6;13;0;39;0;2;51;1
26/05/2019;1;"Milano";"Milano";16;1;;;;870;521;521;0;0;50;4;1;1;7;3;74;30;18;1;101;2;5;224;0
26/05/2019;1;"Milano";"Milano";17;5;;;;0;24;24;0;0;0;0;0;0;0;2;3;1;4;0;4;0;0;10;0
26/05/2019;1;"Milano";"Milano";18;8;;;;771;492;484;8;0;14;4;2;0;21;9;32;19;38;2;153;0;0;190;0
26/05/2019;1;"Milano";"Milano";19;8;;;;828;518;510;8;0;14;1;2;2;39;19;52;18;55;1;147;0;2;158;0
26/05/2019;1;"Milano";"Milano";20;8;;;;779;455;441;14;0;13;0;0;0;22;9;34;18;57;0;140;2;2;144;0
26/05/2019;1;"Milano";"Milano";21;4;;;;58;26;26;0;0;0;0;0;0;0;0;1;4;7;0;4;0;0;10;0
26/05/2019;1;"Milano";"Milano";22;1;;;;806;482;480;2;0;52;1;0;1;6;4;80;25;16;0;74;0;3;218;0
26/05/2019;1;"Milano";"Milano";23;3;;;;1009;566;560;6;2;28;4;1;5;23;16;29;29;75;3;182;1;0;161;1
26/05/2019;1;"Milano";"Milano";24;1;;;;844;568;563;5;2;64;1;2;1;10;3;89;20;18;3;94;1;1;254;0
26/05/2019;1;"Milano";"Milano";25;8;;;;718;416;406;10;0;6;1;0;2;21;7;36;13;54;0;151;0;0;114;1
26/05/2019;1;"Milano";"Milano";26;1;;;;733;474;473;1;1;36;1;2;0;6;2;76;18;16;0;90;0;2;223;0
26/05/2019;1;"Milano";"Milano";27;1;;;;876;547;542;5;2;47;2;0;0;16;4;66;40;17;1;94;0;2;251;0
26/05/2019;1;"Milano";"Milano";28;1;;;;717;429;427;2;0;34;0;1;0;11;4;38;28;24;1;100;0;1;185;0
26/05/2019;1;"Milano";"Milano";29;5;;;;896;537;526;11;3;20;3;3;0;11;12;53;27;65;2;192;0;1;134;0
26/05/2019;1;"Milano";"Milano";30;8;;;;723;412;403;9;2;17;3;3;0;24;5;38;21;43;1;146;2;3;95;0
26/05/2019;1;"Milano";"Milano";31;8;;;;718;438;424;14;1;12;4;0;0;33;9;21;16;41;1;120;0;1;165;0
26/05/2019;1;"Milano";"Milano";32;3;;;;1155;700;688;12;2;43;1;3;1;25;13;58;43;68;1;182;1;7;240;0
26/05/2019;1;"Milano";"Milano";33;6;;;;763;391;379;12;2;12;6;0;1;3;10;34;14;51;0;109;0;0;137;0
26/05/2019;1;"Milano";"Milano";34;7;;;;0;41;38;3;0;2;0;0;0;0;0;8;3;3;0;9;13;0;0;0
26/05/2019;1;"Milano";"Milano";35;4;;;;779;467;463;4;1;15;3;1;2;17;11;33;21;44;1;117;2;1;194;0
26/05/2019;1;"Milano";"Milano";36;1;;;;885;548;544;4;3;59;0;3;1;21;9;61;32;10;0;100;1;3;240;1
26/05/2019;1;"Milano";"Milano";37;7;;;;911;558;551;7;5;18;3;4;1;23;3;38;40;101;2;190;0;1;122;0
26/05/2019;1;"Milano";"Milano";38;7;;;;955;615;613;2;5;27;4;2;1;26;7;48;30;60;2;175;0;1;225;0
26/05/2019;1;"Milano";"Milano";39;1;;;;924;538;529;9;0;63;1;2;2;15;10;65;37;24;2;102;0;1;205;0
26/05/2019;1;"Milano";"Milano";40;4;;;;698;396;391;5;4;26;3;0;0;10;8;31;20;31;1;80;0;2;175;0
26/05/2019;1;"Milano";"Milano";41;1;;;;770;502;499;3;1;44;1;0;0;17;14;61;34;19;1;79;0;1;227;0
26/05/2019;1;"Milano";"Milano";42;6;;;;750;465;464;1;0;40;3;0;0;8;10;46;23;25;1;101;1;1;205;0
26/05/2019;1;"Milano";"Milano";43;1;;;;650;382;379;3;1;42;0;0;0;7;4;69;17;11;0;66;0;1;161;0
26/05/2019;1;"Milano";"Milano";44;1;;;;786;494;493;1;2;41;2;1;0;17;7;93;21;13;2;82;0;2;209;1
26/05/2019;1;"Milano";"Milano";45;7;;;;41;56;55;1;0;2;0;0;0;0;1;8;1;9;0;22;0;0;12;0
26/05/2019;1;"Milano";"Milano";46;1;;;;887;580;574;6;6;64;1;0;1;18;6;103;38;17;0;104;0;2;213;1
26/05/2019;1;"Milano";"Milano";47;1;;;;737;424;423;1;3;43;1;1;0;10;1;71;22;12;0;83;0;2;174;0
26/05/2019;1;"Milano";"Milano";48;1;;;;785;450;442;8;2;51;0;0;0;5;3;78;31;15;0;76;1;0;178;2
26/05/2019;1;"Milano";"Milano";49;7;;;;0;47;44;3;0;0;1;0;0;1;1;2;0;7;0;18;0;1;13;0
26/05/2019;1;"Milano";"Milano";50;9;;;;0;69;67;2;1;0;1;0;0;0;2;9;0;6;0;27;0;0;21;0
26/05/2019;1;"Milano";"Milano";54;1;;;;0;28;27;1;0;0;0;0;0;1;1;3;2;3;0;8;0;0;9;0
26/05/2019;1;"Milano";"Milano";55;6;;;;928;583;575;8;3;33;4;2;2;17;11;69;22;27;0;150;0;0;234;1
26/05/2019;1;"Milano";"Milano";56;1;;;;1062;510;503;7;1;38;0;0;1;16;3;78;27;22;1;124;0;4;188;0
26/05/2019;1;"Milano";"Milano";57;6;;;;883;602;597;5;2;26;1;0;4;17;8;84;31;32;0;123;1;2;264;2
26/05/2019;1;"Milano";"Milano";58;1;;;;817;453;449;4;0;53;1;0;0;13;2;67;21;11;0;105;0;0;175;1
26/05/2019;1;"Milano";"Milano";59;8;;;;801;503;498;5;0;14;5;1;0;25;10;46;33;63;0;157;1;0;143;0
26/05/2019;1;"Milano";"Milano";61;7;;;;992;659;653;6;0;58;0;1;0;9;4;101;34;18;0;167;1;2;258;0
26/05/2019;1;"Milano";"Milano";64;6;;;;616;322;309;13;1;3;2;1;0;2;10;25;14;43;2;102;3;1;100;0
26/05/2019;1;"Milano";"Milano";65;1;;;;694;404;402;2;1;52;1;2;0;9;6;46;11;19;0;69;0;1;185;0
26/05/2019;1;"Milano";"Milano";66;8;;;;691;357;354;3;2;8;4;1;0;13;10;17;18;63;1;102;0;3;110;2
26/05/2019;1;"Milano";"Milano";69;1;;;;850;456;450;6;2;39;2;3;0;9;1;92;29;17;0;82;1;2;171;0
26/05/2019;1;"Milano";"Milano";72;8;;;;703;399;388;11;1;13;3;5;1;17;16;23;17;50;1;113;0;2;126;0
26/05/2019;1;"Milano";"Milano";73;1;;;;673;391;386;5;0;28;1;2;0;13;2;80;10;15;0;99;0;1;135;0
26/05/2019;1;"Milano";"Milano";74;8;;;;628;330;328;2;0;7;6;0;1;24;4;20;19;28;1;107;0;1;110;0
26/05/2019;1;"Milano";"Milano";78;1;;;;795;415;409;6;1;36;2;0;0;4;3;84;25;4;0;96;0;2;152;0
26/05/2019;1;"Milano";"Milano";79;1;;;;660;369;368;1;0;34;0;0;0;7;1;83;21;7;0;87;0;3;124;1
26/05/2019;1;"Milano";"Milano";80;6;;;;830;448;437;11;3;18;4;1;1;9;9;61;26;44;1;128;1;2;128;1
26/05/2019;1;"Milano";"Milano";82;1;;;;786;451;449;2;2;38;1;0;0;11;2;97;37;3;3;112;1;0;142;0
26/05/2019;1;"Milano";"Milano";83;1;;;;840;511;503;8;1;50;0;0;0;15;2;102;26;19;0;79;0;2;207;0
26/05/2019;1;"Milano";"Milano";84;6;;;;770;460;450;10;0;5;6;0;1;5;21;51;18;52;0;141;0;4;145;1
26/05/2019;1;"Milano";"Milano";86;4;;;;787;413;399;14;0;30;5;2;1;9;16;30;28;29;0;138;1;3;106;1
26/05/2019;1;"Milano";"Milano";87;1;;;;1005;567;561;6;4;43;1;1;0;8;4;127;23;13;2;160;0;3;171;1
26/05/2019;1;"Milano";"Milano";88;5;;;;1066;665;648;17;0;23;1;5;2;20;9;68;40;48;2;191;0;6;231;2
26/05/2019;1;"Milano";"Milano";91;2;;;;828;557;551;6;1;34;5;1;1;32;7;67;37;35;3;144;4;1;179;0
26/05/2019;1;"Milano";"Milano";92;8;;;;786;460;456;4;0;8;4;1;2;25;7;38;20;62;5;153;0;3;128;0
26/05/2019;1;"Milano";"Milano";93;1;;;;989;623;619;4;3;55;1;1;0;5;4;129;45;23;0;129;0;3;221;0
26/05/2019;1;"Milano";"Milano";94;1;;;;790;464;457;7;1;28;1;1;0;15;8;63;18;23;0;92;1;1;204;1
26/05/2019;1;"Milano";"Milano";97;8;;;;822;468;458;10;0;14;3;1;3;16;14;27;23;59;1;169;0;2;126;0
26/05/2019;1;"Milano";"Milano";99;1;;;;881;562;559;3;4;56;0;0;1;15;9;102;39;23;1;96;0;0;213;0
26/05/2019;1;"Milano";"Milano";100;6;;;;909;569;563;6;2;24;3;1;3;23;13;43;29;58;0;159;0;8;197;0
26/05/2019;1;"Milano";"Milano";104;3;;;;935;574;574;0;8;43;0;0;1;22;4;77;34;27;0;138;0;3;217;0
26/05/2019;1;"Milano";"Milano";105;8;;;;680;395;392;3;2;8;2;0;2;20;3;39;15;43;0;119;0;0;138;1
26/05/2019;1;"Milano";"Milano";106;3;;;;920;607;603;4;1;56;1;1;1;24;11;72;33;32;0;113;0;4;254;0
26/05/2019;1;"Milano";"Milano";109;1;;;;963;572;567;5;1;44;0;1;0;11;4;95;31;17;0;116;0;2;245;0
26/05/2019;1;"Milano";"Milano";110;3;;;;820;551;548;3;0;42;1;1;0;6;16;81;31;24;1;116;0;0;227;2
26/05/2019;1;"Milano";"Milano";111;3;;;;807;529;519;10;1;40;1;0;0;10;4;63;30;19;2;126;0;0;222;1
26/05/2019;1;"Milano";"Milano";112;3;;;;814;531;526;5;0;33;1;0;0;19;9;43;32;41;0;107;0;4;237;0
26/05/2019;1;"Milano";"Milano";113;3;;;;1104;663;656;7;2;34;3;1;1;22;13;53;34;54;2;140;0;1;295;1
26/05/2019;1;"Milano";"Milano";114;3;;;;847;535;530;5;1;39;1;1;2;12;7;78;22;32;0;125;2;2;206;0
26/05/2019;1;"Milano";"Milano";116;3;;;;752;453;446;7;1;23;0;1;0;6;8;55;24;22;1;94;0;0;210;1
26/05/2019;1;"Milano";"Milano";117;2;;;;989;624;611;13;0;13;4;3;4;20;14;53;26;78;0;232;0;2;162;0
26/05/2019;1;"Milano";"Milano";119;7;;;;674;346;335;11;1;8;3;0;0;6;8;37;11;48;3;138;0;7;65;0
26/05/2019;1;"Milano";"Milano";120;9;;;;829;511;505;6;0;9;3;0;2;13;13;40;26;55;0;184;1;7;152;0
26/05/2019;1;"Milano";"Milano";122;4;;;;809;499;495;4;1;34;6;0;1;19;14;51;29;21;0;99;1;1;218;0
26/05/2019;1;"Milano";"Milano";123;4;;;;868;538;532;6;2;41;2;2;1;11;6;67;24;33;1;136;0;7;199;0
26/05/2019;1;"Milano";"Milano";125;9;;;;1009;589;579;10;0;29;2;0;1;21;6;55;34;64;1;203;0;2;161;0
26/05/2019;1;"Milano";"Milano";126;4;;;;901;587;565;22;3;31;2;0;0;13;7;73;24;39;1;116;0;2;253;1
26/05/2019;1;"Milano";"Milano";128;4;;;;969;590;587;3;0;43;1;0;0;15;9;57;51;42;2;128;0;2;237;0
26/05/2019;1;"Milano";"Milano";129;4;;;;996;632;621;11;2;33;2;2;0;21;9;104;26;37;2;109;0;4;269;1
26/05/2019;1;"Milano";"Milano";130;4;;;;878;534;529;5;2;48;1;0;3;11;3;54;17;28;0;123;1;1;236;1
26/05/2019;1;"Milano";"Milano";131;4;;;;834;520;514;6;0;30;2;1;1;12;4;69;24;20;1;101;0;0;249;0
26/05/2019;1;"Milano";"Milano";135;4;;;;826;462;453;9;4;27;3;0;0;10;10;56;17;53;2;132;0;2;137;0
26/05/2019;1;"Milano";"Milano";138;4;;;;774;418;406;12;0;20;3;0;0;15;8;48;28;35;0;136;0;1;112;0
26/05/2019;1;"Milano";"Milano";139;4;;;;729;409;400;9;1;15;2;2;1;7;4;61;33;26;2;126;0;0;120;0
26/05/2019;1;"Milano";"Milano";140;4;;;;964;598;589;9;1;31;5;2;0;14;10;76;44;45;2;136;0;3;218;2
26/05/2019;1;"Milano";"Milano";141;4;;;;949;599;593;6;0;44;4;1;1;13;11;47;28;34;0;120;1;3;285;1
26/05/2019;1;"Milano";"Milano";142;4;;;;920;540;533;7;0;30;0;0;0;13;6;50;30;30;0;111;0;4;258;1
26/05/2019;1;"Milano";"Milano";144;8;;;;715;352;343;9;0;5;4;0;0;9;6;26;19;42;1;129;0;1;100;1
26/05/2019;1;"Milano";"Milano";146;4;;;;889;569;565;4;1;39;3;0;0;23;13;63;23;22;0;86;0;0;291;1
26/05/2019;1;"Milano";"Milano";147;4;;;;785;524;516;8;0;32;0;0;0;12;9;66;29;31;2;97;0;1;235;2
26/05/2019;1;"Milano";"Milano";149;4;;;;944;605;600;5;3;37;1;0;0;17;18;73;22;30;2;144;1;3;249;0
26/05/2019;1;"Milano";"Milano";151;4;;;;744;419;411;8;0;31;2;1;2;12;5;43;13;33;0;88;0;1;180;0
26/05/2019;1;"Milano";"Milano";152;4;;;;778;462;458;4;4;45;0;0;2;17;17;40;26;32;0;92;0;0;182;1
26/05/2019;1;"Milano";"Milano";153;4;;;;589;361;354;7;0;24;5;0;2;14;9;42;20;23;1;63;0;4;144;3
26/05/2019;1;"Milano";"Milano";157;4;;;;867;521;509;12;0;51;2;0;2;14;6;55;26;21;0;107;0;0;225;0
26/05/2019;1;"Milano";"Milano";158;4;;;;842;501;494;7;3;18;3;2;1;16;15;42;31;30;1;107;1;1;223;0
26/05/2019;1;"Milano";"Milano";160;1;;;;832;320;317;3;4;14;3;0;0;8;8;34;13;21;2;62;0;2;146;0
26/05/2019;1;"Milano";"Milano";162;1;;;;2;62;61;1;0;1;0;0;0;1;2;10;4;6;0;16;0;0;21;0
26/05/2019;1;"Milano";"Milano";164;1;;;;689;443;437;6;0;38;3;0;1;8;6;71;24;11;0;87;0;3;185;0
26/05/2019;1;"Milano";"Milano";167;1;;;;815;466;457;9;5;31;1;1;2;17;8;70;29;8;0;76;0;3;205;1
26/05/2019;1;"Milano";"Milano";168;1;;;;749;412;407;5;0;33;2;3;0;10;11;48;31;22;1;108;0;2;136;0
26/05/2019;1;"Milano";"Milano";169;1;;;;768;443;436;7;1;27;2;0;1;7;14;41;15;35;1;86;1;3;202;0
26/05/2019;1;"Milano";"Milano";172;8;;;;696;382;361;21;1;2;3;1;1;9;7;44;19;49;0;147;1;1;76;0
26/05/2019;1;"Milano";"Milano";173;1;;;;816;293;292;1;1;19;0;0;0;3;4;32;20;18;0;69;1;0;125;0
26/05/2019;1;"Milano";"Milano";175;4;;;;933;584;581;3;4;47;8;1;1;13;15;48;41;34;0;114;1;4;249;1
26/05/2019;1;"Milano";"Milano";177;8;;;;648;384;378;6;0;10;3;0;0;42;11;37;11;55;1;102;0;3;102;1
26/05/2019;1;"Milano";"Milano";179;1;;;;830;522;515;7;3;42;2;0;0;16;9;79;24;15;0;101;0;0;224;0
26/05/2019;1;"Milano";"Milano";181;5;;;;1081;685;679;6;3;14;4;1;8;22;11;64;42;73;0;203;1;5;228;0
26/05/2019;1;"Milano";"Milano";182;1;;;;765;490;483;7;4;42;1;0;0;6;7;94;35;19;0;95;0;0;180;0
26/05/2019;1;"Milano";"Milano";184;4;;;;923;565;560;5;0;41;1;0;2;21;14;68;21;29;1;134;0;1;226;1
26/05/2019;1;"Milano";"Milano";185;6;;;;773;463;458;5;1;41;0;1;0;8;6;33;25;28;0;100;0;1;212;2
26/05/2019;1;"Milano";"Milano";186;4;;;;846;515;512;3;0;36;5;1;3;16;9;45;26;29;0;117;0;5;220;0
26/05/2019;1;"Milano";"Milano";187;6;;;;738;447;441;6;1;34;4;1;1;14;11;33;22;38;1;124;0;3;154;0
26/05/2019;1;"Milano";"Milano";188;4;;;;914;549;541;8;1;39;3;0;0;14;18;42;36;28;2;118;0;4;236;0
26/05/2019;1;"Milano";"Milano";189;4;;;;806;469;455;14;0;41;0;0;0;12;8;52;22;22;1;110;0;1;186;0
26/05/2019;1;"Milano";"Milano";190;4;;;;784;477;474;3;1;33;2;1;0;10;10;39;30;43;1;115;0;4;185;0
26/05/2019;1;"Milano";"Milano";191;4;;;;809;518;511;7;2;32;1;1;1;10;5;44;29;27;2;115;1;6;235;0
26/05/2019;1;"Milano";"Milano";193;4;;;;955;584;578;6;0;40;4;4;0;17;10;53;45;39;1;95;0;1;269;0
26/05/2019;1;"Milano";"Milano";195;4;;;;777;488;479;9;3;34;0;1;1;19;9;39;12;33;1;114;0;0;212;1
26/05/2019;1;"Milano";"Milano";196;5;;;;750;436;432;4;2;37;0;0;1;11;8;38;25;32;2;113;0;1;161;1
26/05/2019;1;"Milano";"Milano";197;8;;;;744;399;387;12;4;14;2;0;0;7;2;28;7;59;0;159;0;2;103;0
26/05/2019;1;"Milano";"Milano";198;4;;;;811;476;466;10;0;24;2;2;1;15;5;55;21;22;2;104;0;2;211;0
26/05/2019;1;"Milano";"Milano";199;8;;;;650;392;379;13;1;17;0;1;0;21;11;43;12;44;1;108;0;1;118;1
26/05/2019;1;"Milano";"Milano";200;5;;;;738;457;449;8;0;34;3;0;0;10;14;35;25;29;1;97;1;1;199;0
26/05/2019;1;"Milano";"Milano";201;5;;;;825;490;484;6;0;41;1;0;1;15;8;24;42;37;2;83;2;2;226;0
26/05/2019;1;"Milano";"Milano";204;7;;;;986;605;592;13;3;18;8;2;1;18;16;46;34;76;4;196;0;1;168;1
26/05/2019;1;"Milano";"Milano";205;8;;;;712;354;347;7;0;5;2;0;0;5;5;32;11;52;1;151;0;4;79;0
26/05/2019;1;"Milano";"Milano";206;5;;;;803;514;508;6;0;25;0;0;0;11;8;65;40;24;1;118;0;4;211;1
26/05/2019;1;"Milano";"Milano";207;4;;;;864;458;456;2;2;33;0;0;0;18;18;46;20;24;0;87;0;0;208;0
26/05/2019;1;"Milano";"Milano";208;5;;;;849;473;467;6;1;27;1;0;0;13;8;30;29;44;1;110;0;1;202;0
26/05/2019;1;"Milano";"Milano";212;5;;;;744;480;472;8;4;30;0;1;2;4;2;58;17;21;1;101;0;4;226;1
26/05/2019;1;"Milano";"Milano";213;5;;;;713;389;384;5;0;24;1;0;2;12;6;41;20;25;1;79;0;4;168;1
26/05/2019;1;"Milano";"Milano";214;8;;;;711;424;417;7;1;5;4;1;1;10;2;28;19;62;2;166;0;6;109;1
26/05/2019;1;"Milano";"Milano";215;5;;;;1041;645;635;10;0;46;9;1;1;21;17;44;21;53;2;80;1;4;334;1
26/05/2019;1;"Milano";"Milano";217;5;;;;798;469;463;6;2;30;3;0;1;12;9;53;23;24;0;95;0;0;211;0
26/05/2019;1;"Milano";"Milano";220;1;;;;747;501;494;7;0;51;1;0;0;9;7;81;23;10;1;67;1;0;243;0
26/05/2019;1;"Milano";"Milano";221;7;;;;663;361;352;9;2;10;0;3;0;8;10;43;21;53;0;117;1;4;80;0
26/05/2019;1;"Milano";"Milano";223;1;;;;1091;730;721;9;7;66;0;2;0;22;3;115;37;11;0;111;0;2;345;0
26/05/2019;1;"Milano";"Milano";224;1;;;;760;506;501;5;2;53;0;1;1;14;3;95;22;14;1;75;0;1;219;0
26/05/2019;1;"Milano";"Milano";226;1;;;;742;496;490;6;2;58;1;1;0;7;7;71;28;15;1;99;0;1;199;0
26/05/2019;1;"Milano";"Milano";229;5;;;;697;424;417;7;0;39;2;1;1;5;3;54;30;18;1;88;0;2;173;0
26/05/2019;1;"Milano";"Milano";230;5;;;;882;615;609;6;1;45;0;0;1;27;9;49;27;36;1;108;1;2;302;0
26/05/2019;1;"Milano";"Milano";232;2;;;;718;495;493;2;1;25;4;8;0;12;5;63;30;28;0;146;1;1;169;0
26/05/2019;1;"Milano";"Milano";234;5;;;;770;420;417;3;0;35;3;1;1;15;10;51;26;23;1;113;0;1;136;1
26/05/2019;1;"Milano";"Milano";235;5;;;;585;394;390;4;1;31;3;0;0;7;3;55;25;20;0;71;0;0;174;0
26/05/2019;1;"Milano";"Milano";236;5;;;;739;424;418;6;0;26;1;0;0;14;5;39;18;22;1;80;0;1;211;0
26/05/2019;1;"Milano";"Milano";237;5;;;;838;517;515;2;0;53;0;0;0;23;10;38;19;28;1;92;0;6;245;0
26/05/2019;1;"Milano";"Milano";238;5;;;;946;595;590;5;8;37;5;4;2;18;10;61;38;48;1;132;0;4;222;0
26/05/2019;1;"Milano";"Milano";240;5;;;;833;473;470;3;4;41;3;1;2;6;15;52;15;41;1;99;0;2;188;0
26/05/2019;1;"Milano";"Milano";242;5;;;;1045;621;612;9;4;43;2;4;1;26;12;80;40;29;0;110;1;2;258;0
26/05/2019;1;"Milano";"Milano";243;5;;;;726;432;429;3;2;34;3;0;2;11;11;36;16;26;3;104;0;1;180;0
26/05/2019;1;"Milano";"Milano";246;1;;;;741;453;445;8;1;31;5;0;0;12;11;28;14;25;1;95;0;1;221;0
26/05/2019;1;"Milano";"Milano";250;1;;;;778;447;446;1;0;35;1;5;1;13;12;60;15;20;1;75;0;1;207;0
26/05/2019;1;"Milano";"Milano";251;4;;;;161;54;49;5;1;2;6;1;0;0;1;10;1;3;0;12;0;1;11;0
26/05/2019;1;"Milano";"Milano";252;1;;;;842;440;437;3;3;30;1;1;0;19;9;26;14;35;0;87;0;1;211;0
26/05/2019;1;"Milano";"Milano";257;1;;;;843;523;516;7;1;37;1;1;0;21;13;41;16;26;0;106;0;1;252;0
26/05/2019;1;"Milano";"Milano";259;8;;;;614;384;378;6;1;11;1;0;0;10;6;35;24;42;3;145;0;2;98;0
26/05/2019;1;"Milano";"Milano";262;5;;;;732;480;471;9;2;16;1;1;0;14;9;72;21;36;3;128;0;0;168;0
26/05/2019;1;"Milano";"Milano";263;1;;;;900;578;572;6;0;48;1;0;3;21;17;58;25;19;1;93;0;0;285;1
26/05/2019;1;"Milano";"Milano";264;1;;;;985;617;614;3;0;43;2;2;2;22;16;58;27;23;0;103;0;7;309;0
26/05/2019;1;"Milano";"Milano";265;1;;;;972;556;549;7;1;42;2;1;2;19;17;60;21;25;0;88;0;2;268;1
26/05/2019;1;"Milano";"Milano";269;1;;;;939;579;574;5;0;42;0;0;0;22;12;56;29;28;1;93;1;1;288;1
26/05/2019;1;"Milano";"Milano";271;1;;;;712;506;500;6;0;34;3;1;1;21;12;40;23;21;1;73;0;1;269;0
26/05/2019;1;"Milano";"Milano";272;1;;;;703;382;380;2;1;34;0;0;0;10;6;40;19;16;1;87;0;2;164;0
26/05/2019;1;"Milano";"Milano";274;6;;;;603;383;374;9;5;18;0;1;1;9;5;43;28;30;2;91;1;0;140;0
26/05/2019;1;"Milano";"Milano";277;4;;;;866;481;469;12;1;11;2;1;0;12;10;36;25;33;4;147;0;4;183;0
26/05/2019;1;"Milano";"Milano";279;5;;;;967;592;588;4;1;47;4;0;1;24;8;57;32;26;2;105;0;3;277;1
26/05/2019;1;"Milano";"Milano";280;5;;;;937;564;563;1;0;38;3;0;3;14;21;58;22;22;1;104;0;0;277;0
26/05/2019;1;"Milano";"Milano";281;5;;;;937;564;555;9;0;43;3;0;1;24;27;47;16;33;1;87;1;0;272;0
26/05/2019;1;"Milano";"Milano";282;6;;;;619;330;322;8;2;8;2;0;1;6;8;28;15;48;0;114;0;2;88;0
26/05/2019;1;"Milano";"Milano";284;5;;;;797;467;459;8;3;29;0;1;2;10;15;49;18;43;0;121;0;2;166;0
26/05/2019;1;"Milano";"Milano";286;6;;;;901;449;437;12;1;28;1;1;0;21;6;39;18;29;4;93;0;2;194;0
26/05/2019;1;"Milano";"Milano";288;6;;;;689;330;327;3;1;17;4;1;0;8;18;22;9;43;3;99;0;1;101;0
26/05/2019;1;"Milano";"Milano";291;5;;;;772;407;403;4;3;23;1;0;2;8;21;48;21;24;1;80;0;1;170;0
26/05/2019;1;"Milano";"Milano";292;5;;;;701;400;391;9;1;23;2;0;0;12;11;40;20;35;1;77;0;1;168;0
26/05/2019;1;"Milano";"Milano";294;6;;;;904;545;538;7;1;42;3;2;0;18;7;53;19;32;0;135;1;2;223;0
26/05/2019;1;"Milano";"Milano";295;6;;;;779;460;453;7;0;17;4;0;0;11;5;43;26;56;0;168;1;1;120;1
26/05/2019;1;"Milano";"Milano";297;7;;;;648;337;330;7;0;6;5;1;0;9;6;37;18;42;0;126;0;4;76;0
26/05/2019;1;"Milano";"Milano";299;6;;;;785;421;418;3;1;26;3;0;2;20;11;20;19;39;1;54;0;4;218;0
26/05/2019;1;"Milano";"Milano";300;6;;;;1008;545;541;4;2;46;5;0;1;27;14;34;22;39;0;92;1;1;257;0
26/05/2019;1;"Milano";"Milano";301;6;;;;986;546;538;8;1;33;3;0;3;18;11;48;32;30;0;119;2;2;236;0
26/05/2019;1;"Milano";"Milano";303;6;;;;761;411;405;6;1;30;4;0;3;16;12;25;13;26;0;64;0;0;211;0
